Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2369.0837,NA,18.86410000000000,NA,0.31060000000000,0.28640000000000,NA,2350.7516,18.6427,18.3321,0.3106,18.4146,0.2039,0.1959,0.0080,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2413.2512,NA,44.16750000000000,NA,0.19750000000000,0.20320000000000,NA,2369.3943,44.0544,43.8569,0.1975,43.9603,0.0998,0.0918,0.0080,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2431.5731,NA,18.32190000000000,NA,0.21480000000000,0.29260000000000,NA,2413.4487,18.3392,18.1244,0.2148,18.2285,0.1885,0.1847,0.0038,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2469.2272,NA,37.65410000000000,NA,0.21610000000000,0.28790000000000,NA,2431.7879,37.6554,37.4393,0.2161,37.5422,0.1850,0.1788,0.0062,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2481.7015,NA,12.47430000000000,NA,0.25080000000000,0.26240000000000,NA,2469.4433,12.5090,12.2582,0.2508,12.3783,0.1423,0.1383,0.0040,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2631.7817,NA,150.08020000000002,NA,0.27680000000000,0.33370000000000,NA,2481.9523,150.1062,149.8294,0.2768,149.9420,0.2211,0.2131,0.0080,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2650.7444,NA,18.96270000000000,NA,0.20050000000000,0.20340000000000,NA,2632.0585,18.8864,18.6859,0.2005,18.7870,0.1023,0.0941,0.0082,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2756.8084,NA,106.06400000000001,NA,0.24540000000000,0.36060000000000,NA,2650.9449,106.1089,105.8635,0.2454,106.0021,0.2220,0.2168,0.0052,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,2775.5128,NA,18.70440000000000,NA,0.21020000000000,0.31950000000000,NA,2757.0538,18.6692,18.4590,0.2102,18.5603,0.2182,0.2090,0.0092,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,3094.4930,NA,318.98020000000002,NA,0.36360000000000,0.44590000000000,NA,2775.7230,319.1336,318.7700,0.3636,318.9497,0.2662,0.2458,0.0204,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,3107.3648,NA,12.87180000000000,NA,0.19470000000000,0.24670000000000,NA,3094.8566,12.7029,12.5082,0.1947,12.6083,0.1466,0.1159,0.0307,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,3244.5460,NA,137.18120000000002,NA,0.22230000000000,0.31720000000000,NA,3107.5595,137.2088,136.9865,0.2223,137.0965,0.2072,0.2021,0.0051,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,3263.3242,NA,18.77820000000000,NA,0.19240000000000,0.29910000000000,NA,3244.7683,18.7483,18.5559,0.1924,18.6524,0.2026,0.1917,0.0109,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,3701.0356,NA,437.71140000000003,NA,0.29400000000000,0.38070000000000,NA,3263.5166,437.8130,437.5190,0.2940,437.6709,0.2288,0.2147,0.0141,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,3726.0482,NA,25.01260000000000,NA,0.23340000000000,0.33780000000000,NA,3701.3296,24.9520,24.7186,0.2334,24.8362,0.2202,0.2131,0.0071,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,3769.8200,NA,43.77180000000000,NA,0.39360000000000,0.35280000000000,NA,3726.2816,43.9320,43.5384,0.3936,43.6918,0.1994,0.1460,0.0534,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,4657.7527,NA,887.93270000000007,NA,0.26600000000000,0.36300000000000,NA,3770.2136,887.8051,887.5391,0.2660,887.7064,0.1957,0.1850,0.0107,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,4663.9686,NA,6.21590000000000,NA,0.21750000000000,0.25320000000000,NA,4658.0187,6.1674,5.9499,0.2175,6.0669,0.1362,0.1305,0.0057,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,4776.6024,NA,112.63380000000001,NA,0.25060000000000,0.35480000000000,NA,4664.1861,112.6669,112.4163,0.2506,112.5338,0.2373,0.2221,0.0152,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,4789.1110,NA,12.50860000000000,NA,0.20030000000000,0.29270000000000,NA,4776.8530,12.4583,12.2580,0.2003,12.3562,0.1945,0.1896,0.0049,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,5170.3597,NA,381.24870000000004,NA,0.23280000000000,0.32760000000000,NA,4789.3113,381.2812,381.0484,0.2328,381.1835,0.1925,0.1829,0.0096,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,5290.5280,NA,120.16830000000000,NA,0.37940000000000,0.35440000000000,NA,5170.5925,120.3149,119.9355,0.3794,120.0577,0.2322,0.2102,0.0220,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,5303.7847,NA,13.25670000000000,NA,0.34220000000000,0.31600000000000,NA,5290.9074,13.2195,12.8773,0.3422,12.9585,0.2348,0.1849,0.0499,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,5341.2360,NA,37.45130000000000,NA,0.38150000000000,0.35320000000000,NA,5304.1269,37.4906,37.1091,0.3815,37.2181,0.2442,0.2081,0.0361,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,5355.5089,NA,14.27290000000000,NA,0.20340000000000,0.22810000000000,NA,5341.6175,14.0948,13.8914,0.2034,13.9951,0.1244,0.1132,0.0112,NA,NA,NA,NA,NA
app-shell.exe,30016,0x18FC26741F0,DXGI,1,0,0,Composed: Flip,5380.6345,NA,25.12560000000000,NA,0.29060000000000,0.28180000000000,NA,5355.7123,25.2128,24.9222,0.2906,25.0037,0.2003,0.1857,0.0146,NA,NA,NA,NA,NA
